yaw_encoder,data,dt
54.0,2021-04-26 19:20:40.918696,77.59535400000004
54.0,2021-04-26 19:20:41.118291,77.79494800000005
54.0,2021-04-26 19:20:41.317816,77.99447500000005
54.0,2021-04-26 19:20:41.517415,78.19407000000005
54.0,2021-04-26 19:20:41.716919,78.39357600000005
54.0,2021-04-26 19:20:41.916479,78.59313600000006
54.0,2021-04-26 19:20:42.116036,78.79269300000006
54.0,2021-04-26 19:20:42.315575,78.99223200000006
54.0,2021-04-26 19:20:42.519132,79.19578600000006
54.0,2021-04-26 19:20:42.718618,79.39527400000006
54.0,2021-04-26 19:20:42.918194,79.59485000000005
54.0,2021-04-26 19:20:43.117748,79.79440400000006
54.0,2021-04-26 19:20:43.317268,79.99392500000006
54.0,2021-04-26 19:20:43.516856,80.19351000000006
54.0,2021-04-26 19:20:43.716347,80.39300600000006
63.0,2021-04-26 19:20:43.919703,80.59635900000006
54.0,2021-04-26 19:20:44.117969,80.79462400000007
54.0,2021-04-26 19:20:44.319136,80.99578800000008
54.0,2021-04-26 19:20:44.518619,81.19525600000007
54.0,2021-04-26 19:20:44.718099,81.39475500000007
54.0,2021-04-26 19:20:44.917632,81.59429000000007
54.0,2021-04-26 19:20:45.117214,81.79386800000007
54.0,2021-04-26 19:20:45.316741,81.99339900000007
54.0,2021-04-26 19:20:45.516275,82.19293200000007
54.0,2021-04-26 19:20:45.715887,82.39254500000007
54.0,2021-04-26 19:20:45.915416,82.59206900000007
54.0,2021-04-26 19:20:46.118874,82.79553100000007
54.0,2021-04-26 19:20:46.318440,82.99509100000007
54.0,2021-04-26 19:20:46.518077,83.19473300000007
54.0,2021-04-26 19:20:46.717521,83.39417900000007
54.0,2021-04-26 19:20:46.917073,83.59373400000007
54.0,2021-04-26 19:20:47.116623,83.79328400000007
54.0,2021-04-26 19:20:47.318098,83.99475600000007
54.0,2021-04-26 19:20:47.515863,84.19251100000007
54.0,2021-04-26 19:20:47.715294,84.39195300000007
54.0,2021-04-26 19:20:47.925790,84.60244200000007
54.0,2021-04-26 19:20:48.118338,84.79499600000007
54.0,2021-04-26 19:20:48.317910,84.99456800000007
54.0,2021-04-26 19:20:48.517493,85.19414700000007
54.0,2021-04-26 19:20:48.716986,85.39364300000007
54.0,2021-04-26 19:20:48.916615,85.59326800000007
54.0,2021-04-26 19:20:49.116413,85.79307500000007
54.0,2021-04-26 19:20:49.318719,85.99537500000007
54.0,2021-04-26 19:20:49.515258,86.19191400000007
54.0,2021-04-26 19:20:49.722729,86.39938200000007
54.0,2021-04-26 19:20:49.918211,86.59487100000007
54.0,2021-04-26 19:20:50.117784,86.79444400000007
54.0,2021-04-26 19:20:50.318400,86.99504600000007
54.0,2021-04-26 19:20:50.516990,87.19364500000007
54.0,2021-04-26 19:20:50.716443,87.39310500000008
54.0,2021-04-26 19:20:50.917567,87.59422000000008
54.0,2021-04-26 19:20:51.115573,87.79223000000007
54.0,2021-04-26 19:20:51.315157,87.99181300000008
54.0,2021-04-26 19:20:51.518621,88.19527600000008
54.0,2021-04-26 19:20:51.718137,88.39479100000008
54.0,2021-04-26 19:20:51.918788,88.59544600000008
54.0,2021-04-26 19:20:52.118614,88.79526900000008
54.0,2021-04-26 19:20:52.316793,88.99345100000008
54.0,2021-04-26 19:20:52.516348,89.19300600000008
54.0,2021-04-26 19:20:52.715940,89.39260100000008
54.0,2021-04-26 19:20:52.915477,89.59213400000009
54.0,2021-04-26 19:20:53.115018,89.79167500000008
54.0,2021-04-26 19:20:53.314542,89.99119900000008
54.0,2021-04-26 19:20:53.518108,90.19476200000008
54.0,2021-04-26 19:20:53.720150,90.39680300000008
54.0,2021-04-26 19:20:53.917171,90.59382900000007
54.0,2021-04-26 19:20:54.116708,90.79336400000007
54.0,2021-04-26 19:20:54.316319,90.99297000000007
54.0,2021-04-26 19:20:54.515837,91.19249500000006
54.0,2021-04-26 19:20:54.715415,91.39207100000006
54.0,2021-04-26 19:20:54.914955,91.59161300000005
54.0,2021-04-26 19:20:55.114502,91.79115800000005
54.0,2021-04-26 19:20:55.317957,91.99461700000005
54.0,2021-04-26 19:20:55.517499,92.19415700000005
54.0,2021-04-26 19:20:55.717108,92.39376200000005
54.0,2021-04-26 19:20:55.916609,92.59326900000005
54.0,2021-04-26 19:20:56.119059,92.79571200000005
54.0,2021-04-26 19:20:56.315705,92.99236300000005
54.0,2021-04-26 19:20:56.516286,93.19294100000005
54.0,2021-04-26 19:20:56.714870,93.39152100000005
54.0,2021-04-26 19:20:56.914369,93.59102300000005
54.0,2021-04-26 19:20:57.118065,93.79467600000005
54.0,2021-04-26 19:20:57.317423,93.99407800000006
54.0,2021-04-26 19:20:57.516943,94.19360100000006
54.0,2021-04-26 19:20:57.716551,94.39320500000005
54.0,2021-04-26 19:20:57.916087,94.59274500000005
54.0,2021-04-26 19:20:58.115627,94.79228500000005
54.0,2021-04-26 19:20:58.315143,94.99180100000005
54.0,2021-04-26 19:20:58.514732,95.19139000000006
54.0,2021-04-26 19:20:58.715525,95.39217900000006
54.0,2021-04-26 19:20:58.917850,95.59450800000006
54.0,2021-04-26 19:20:59.117469,95.79412600000006
54.0,2021-04-26 19:20:59.316944,95.99358800000006
54.0,2021-04-26 19:20:59.516400,96.19306000000006
54.0,2021-04-26 19:20:59.715945,96.39260500000006
54.0,2021-04-26 19:20:59.915627,96.59228600000006
54.0,2021-04-26 19:21:00.115139,96.79179300000006
54.0,2021-04-26 19:21:00.314639,96.99129700000006
54.0,2021-04-26 19:21:00.514248,97.19090300000006
54.0,2021-04-26 19:21:00.720152,97.39679700000006
54.0,2021-04-26 19:21:00.919781,97.59644500000006
