X_k,Y_k,Altura,Orientacao_k,Tempo
28.644562186255637,-300.3332315534064,-36.100181579589844,-176.91482155649075,1607527707.8040974
28.436356446486432,-300.3376198900501,-36.08860778808594,-176.9138806787155,1607527708.4061546
28.320110293623486,-300.3398430516095,-36.08912658691406,-176.94196052069358,1607527708.6069152
28.21856204328102,-300.3401452576471,-36.09431457519531,-176.9167995603602,1607527708.807752
28.114364460090886,-300.34010980287763,-36.10188293457031,-176.84352305740313,1607527709.0088243
27.898549885834683,-300.3410770271886,-36.09458541870117,-176.8858043875518,1607527709.6106439
27.734038129830687,-300.34212546641993,-36.10589218139648,-176.88116166257225,1607527709.811847
27.545240063971786,-300.34328037059254,-36.09441375732422,-176.8863664444978,1607527710.4173546
27.409651616684,-300.345173794074,-36.106746673583984,-176.8808202838458,1607527710.6185462
27.223279482530256,-300.3500275547061,-36.09672546386719,-176.8748772594662,1607527711.2216175
27.11459619157465,-300.3530509021275,-36.09714889526367,-176.90414669547556,1607527711.4223554
27.025863425141686,-300.3560540863352,-36.102874755859375,-176.84620630046484,1607527711.6233234
26.828711748050402,-300.3610865461384,-36.09254455566406,-176.88019279417483,1607527712.2281628
26.71729142023379,-300.363178522841,-36.09371948242188,-176.85412499351688,1607527712.4289196
26.63604893504702,-300.3645622747543,-36.0953369140625,-176.78726935741622,1607527712.629601
26.535603059033836,-300.3674295726196,-36.10198593139648,-176.75835990866696,1607527712.8315806
26.262600651732523,-300.37678585738286,-36.08879089355469,-176.81647020704733,1607527713.4335241
26.133164927452064,-300.38122724157864,-36.08758163452149,-176.8179411908712,1607527713.63422
26.067960703706493,-300.38354610910204,-36.0877799987793,-176.78263548426625,1607527713.8348794
25.976615026696592,-300.3866008412421,-36.0944709777832,-176.74311307055817,1607527714.0356169
25.88216018010653,-300.3902384230633,-36.10196304321289,-176.74799864471188,1607527714.2364562
25.64657103324592,-300.40192590737456,-36.09167861938477,-176.78379219930662,1607527714.838735
25.53715490136154,-300.4073708959663,-36.091880798339844,-176.80712159677478,1607527715.0394685
25.452990644846068,-300.41154425649944,-36.09425735473633,-176.83389848256616,1607527715.2402284
25.34947782709352,-300.41596747345613,-36.09826278686523,-176.75886392342082,1607527715.4428158
25.280024881927606,-300.41843028891594,-36.10151672363281,-176.70979460371495,1607527715.6435502
25.09238876273065,-300.4254253497855,-36.08738708496094,-176.76607944317223,1607527716.044808
24.964872195034967,-300.43200143169514,-36.09201049804688,-176.77254472926808,1607527716.245441
24.848854182711314,-300.43992634992554,-36.09558486938477,-176.71866690884895,1607527716.4462314
24.74947366739097,-300.4470839365488,-36.09875869750977,-176.6702900089189,1607527716.6468885
24.669913614614284,-300.4528544963477,-36.10258483886719,-176.64971478828386,1607527716.8476222
24.44517105022516,-300.47437221620515,-36.08912658691406,-176.73044624170686,1607527717.4495811
24.309021471200083,-300.48709900905834,-36.08782958984375,-176.76228917000665,1607527717.6516056
24.223353788529334,-300.4952042862526,-36.086952209472656,-176.70546344820642,1607527717.8537073
24.14683663444293,-300.5026193728752,-36.08650588989258,-176.6438184673254,1607527718.0546038
24.05397771912242,-300.510751596986,-36.08916091918945,-176.62259268719563,1607527718.2553265
23.932688135772693,-300.51996876196574,-36.09450149536133,-176.6309503397458,1607527718.4561086
23.780212846812734,-300.5331650476828,-36.10216903686523,-176.63759698420964,1607527718.6568446
23.527780636960156,-300.55408645855243,-36.08479690551758,-176.67323289436936,1607527719.259119
23.354272075743946,-300.57252666530877,-36.08697509765625,-176.6893636885628,1607527719.4600794
23.231343093908418,-300.58786899376577,-36.08533096313477,-176.61590843033338,1607527719.6608346
23.1128136411297,-300.6051400865938,-36.0884017944336,-176.573998156593,1607527719.8638706
23.01975061210413,-300.61779140610315,-36.09228515625,-176.57245126411837,1607527720.0646126
22.935600336238476,-300.628074580408,-36.09583282470703,-176.5841815409072,1607527720.265349
22.768753239395362,-300.64628010518567,-36.10598373413086,-176.61477100775545,1607527720.4661145
22.4207211774899,-300.68392068203906,-36.08590698242188,-176.66976611814013,1607527721.0680802
22.246664459430306,-300.7029190236721,-36.08577728271485,-176.6505351915094,1607527721.268877
22.112052778754716,-300.7169090859373,-36.08451461791992,-176.58216109524187,1607527721.4709964
21.981652134607796,-300.7282694414887,-36.08869171142578,-176.55827392614933,1607527721.6717055
21.88557773168477,-300.7351737936579,-36.092140197753906,-176.55420516262106,1607527721.8724725
21.728848625402314,-300.7440539795935,-36.10015106201172,-176.55809962845981,1607527722.0732932
21.461333170576054,-300.75930941523137,-36.079872131347656,-176.58249703223854,1607527722.4746895
21.253619905626607,-300.7716246229161,-36.08582305908203,-176.55381054043656,1607527722.6754544
21.049186754334176,-300.7842501918981,-36.087738037109375,-176.49229133857446,1607527722.876168
